positive_term,positive_weight,negative_term,negative_weight
great,2.7039921056863165,bad,-3.039623788909564
excellent,2.235375738485563,worst,-2.759123206744869
love,2.085367888181216,the worst,-2.375526879296933
best,1.8382263895403503,no,-2.3448293924107038
the best,1.8211713196380845,awful,-2.146420802954049
well,1.8099682798873402,script,-1.8926981353305106
wonderful,1.6849622773784136,minutes,-1.8227138360236348
life,1.6225444115143086,nothing,-1.7931163023064745
my,1.3999040276062382,waste,-1.7373918635569479
amazing,1.332711467640086,poor,-1.7311049980856559
perfect,1.3173584089495414,even,-1.685427259701222
one of,1.2957691728862275,stupid,-1.5537769578765863
favorite,1.25709039561947,terrible,-1.5213795544966937
especially,1.2125781665967013,just,-1.4473646285537427
will,1.1896631478036463,worse,-1.3473839435033277
loved,1.1874502959161344,wasn,-1.332703009763722
my favorite,1.1860597890162767,supposed to,-1.3052454352862966
fun,1.1751079746660897,supposed,-1.2949752700021282
enjoy,1.1092683954562474,the script,-1.2739920765208985
good,1.0960459629175545,annoying,-1.2163555326725788
