word,x,y
neural,-2.3031604,-0.082201414
network,-1.327297,1.1209997
model,-0.53976,-0.14916305
algorithm,-1.5902711,2.7781544
training,-3.643275,0.15884778
data,-1.9938818,1.8345985
language,-1.1076307,-0.99810505
token,-0.93058664,1.0186557
embedding,-2.1387053,1.2362527
vector,-0.19595875,1.7166251
stock,2.9798052,0.07732861
equity,1.5892859,2.1578147
bond,3.702835,1.6200107
portfolio,1.6728616,3.6852226
market,2.9235637,0.92709106
trading,3.3163726,1.1402006
risk,3.914724,2.707204
return,3.5556347,0.3435631
investment,3.6915178,1.9163886
asset,2.1087453,0.9368439
doctor,-0.9194525,-0.044470284
physician,-1.1982968,1.3181462
patient,0.8366458,-0.6934979
hospital,0.65506154,-0.58389187
clinic,0.24270917,0.5772051
diagnosis,0.5376896,2.2697442
treatment,-1.0263243,-1.833044
medicine,0.33793008,2.1768372
symptom,-0.8130569,-0.62524927
disease,-1.9452527,0.078795224
electricity,1.4782034,-2.4599266
power,-0.27991685,-2.905345
grid,0.4863315,-3.0944483
solar,0.6788864,-3.661549
wind,-0.21835251,-3.566614
battery,-0.10584144,-2.1057563
renewable,0.5723026,-2.825708
demand,3.091273,-3.6499631
load,2.276566,-2.9455216
consumption,0.82093304,-2.7369893
quality,-2.4795532,-0.26528972
defect,-2.6571062,0.09893844
failure,-1.8259972,-0.08653169
inspection,-2.3345869,1.5416893
process,-0.2606396,-0.19210324
control,-2.4211373,0.66101146
root,-3.0910294,-1.7050625
cause,-0.5529599,0.13076192
yield,-1.998699,1.3388785
manufacturing,-1.5711538,1.6426146
