word,expected_topic,same_topic_neighbors,neighbors_evaluated,purity_at_k
neural,artificial_intelligence,5,5,1.0
network,artificial_intelligence,5,5,1.0
model,artificial_intelligence,5,5,1.0
algorithm,artificial_intelligence,5,5,1.0
training,artificial_intelligence,3,5,0.6
data,artificial_intelligence,5,5,1.0
language,artificial_intelligence,0,5,0.0
token,artificial_intelligence,5,5,1.0
embedding,artificial_intelligence,2,5,0.4
vector,artificial_intelligence,3,5,0.6
semantic,artificial_intelligence,1,5,0.2
prediction,artificial_intelligence,3,5,0.6
learning,artificial_intelligence,4,5,0.8
machine,artificial_intelligence,5,5,1.0
context,artificial_intelligence,0,5,0.0
feature,artificial_intelligence,5,5,1.0
inference,artificial_intelligence,5,5,1.0
classification,artificial_intelligence,5,5,1.0
sequence,artificial_intelligence,5,5,1.0
representation,artificial_intelligence,5,5,1.0
stock,finance,5,5,1.0
equity,finance,4,5,0.8
bond,finance,4,5,0.8
portfolio,finance,3,5,0.6
market,finance,3,5,0.6
trading,finance,5,5,1.0
risk,finance,3,5,0.6
return,finance,4,5,0.8
investment,finance,4,5,0.8
asset,finance,3,5,0.6
volatility,finance,3,5,0.6
price,finance,3,5,0.6
capital,finance,5,5,1.0
fund,finance,4,5,0.8
dividend,finance,4,5,0.8
investor,finance,5,5,1.0
security,finance,5,5,1.0
profit,finance,5,5,1.0
loss,finance,3,5,0.6
forecast,energy,1,5,0.2
doctor,healthcare,5,5,1.0
physician,healthcare,4,5,0.8
patient,healthcare,4,5,0.8
hospital,healthcare,4,5,0.8
clinic,healthcare,4,5,0.8
diagnosis,healthcare,4,5,0.8
treatment,healthcare,4,5,0.8
medicine,healthcare,5,5,1.0
symptom,healthcare,5,5,1.0
disease,healthcare,5,5,1.0
nurse,healthcare,5,5,1.0
health,healthcare,4,5,0.8
clinical,healthcare,4,5,0.8
therapy,healthcare,5,5,1.0
medical,healthcare,5,5,1.0
care,healthcare,5,5,1.0
recovery,healthcare,4,5,0.8
research,healthcare,4,5,0.8
prescription,healthcare,5,5,1.0
surgery,healthcare,5,5,1.0
electricity,energy,3,5,0.6
power,energy,5,5,1.0
grid,energy,3,5,0.6
solar,energy,3,5,0.6
wind,energy,4,5,0.8
battery,energy,5,5,1.0
renewable,energy,3,5,0.6
demand,energy,3,5,0.6
load,energy,3,5,0.6
consumption,energy,4,5,0.8
storage,energy,4,5,0.8
energy,energy,5,5,1.0
generator,energy,3,5,0.6
utility,energy,4,5,0.8
voltage,energy,5,5,1.0
current,energy,5,5,1.0
capacity,energy,3,5,0.6
efficiency,energy,5,5,1.0
carbon,energy,5,5,1.0
quality,quality_manufacturing,5,5,1.0
defect,quality_manufacturing,3,5,0.6
failure,quality_manufacturing,4,5,0.8
inspection,quality_manufacturing,5,5,1.0
process,quality_manufacturing,1,5,0.2
control,quality_manufacturing,5,5,1.0
root,quality_manufacturing,3,5,0.6
cause,quality_manufacturing,3,5,0.6
yield,quality_manufacturing,5,5,1.0
manufacturing,quality_manufacturing,5,5,1.0
supplier,quality_manufacturing,5,5,1.0
improvement,quality_manufacturing,3,5,0.6
product,quality_manufacturing,5,5,1.0
test,quality_manufacturing,5,5,1.0
measurement,quality_manufacturing,5,5,1.0
analysis,quality_manufacturing,0,5,0.0
reliability,quality_manufacturing,5,5,1.0
customer,quality_manufacturing,5,5,1.0
production,quality_manufacturing,5,5,1.0
standard,quality_manufacturing,5,5,1.0
